"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition","Products Count","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: collection.marketing_h1 [single_line_text_field]","Metafield: collection.sub_categories [list.collection_reference]","Metafield: collection.parent_category [collection_reference]","Metafield: collection.child_collections [list.collection_reference]","Metafield: collection.collection_bottom_description [list.metaobject_reference]","Metafield: collection.below_category_content [rich_text_field]","Metafield: collection.promo_block_1 [metaobject_reference]","Metafield: collection.promo_block_2 [metaobject_reference]","Metafield: collection.promo_block_3 [metaobject_reference]","Metafield: collection.promo_block_4 [metaobject_reference]"
"310339928201","shoes-womens","MERGE","Shoes - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","33","true","all conditions","Tag","Equals","shoes-womens","51","","","","","","","","","","","",""
"310339960969","gift-certificates","MERGE","Gift Certificates","","Manual","","2025-10-13 20:33:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","34","true","all conditions","Tag","Equals","gift-certificates","0","","","","","","","","","","","",""
"310339993737","newproducts-mens","MERGE","New Products - Men","<header class=""woocommerce-products-header"">
<div class=""term-description""><header class=""woocommerce-products-header"">
<div class=""term-description"">

</div>
</header></div>
</header>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","35","true","all conditions","Tag","Equals","newproducts-mens","10","","","","","","","","","","","",""
"310340026505","new-arrivals","MERGE","New Arrivals","<p>Latest Looks. Same Natural Feel.</p>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","36","true","all conditions","Tag","Equals","new-arrivals","34","","","","","","","","","","","",""
"310340059273","alston","MERGE","Alston","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","37","true","all conditions","Tag","Equals","alston","1","","","","","","","","","","","",""
"310340092041","boots-womens","MERGE","Boots - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","38","true","all conditions","Tag","Equals","boots-womens","17","","","","","","","","","","","",""
"310340124809","newproducts-womens","MERGE","New Products - Women","<header class=""woocommerce-products-header"">
<div class=""term-description""><header class=""woocommerce-products-header"">
<div class=""term-description"">


</div>
</header></div>
</header>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","39","true","all conditions","Tag","Equals","newproducts-womens","15","","","","","","","","","","","",""
"310340157577","running-fitness-womens","MERGE","Running / Fitness - Women","<p>Barefoot-designed running and fitness shoes for women.</p>

<p>Let your feet move how they’re meant to for natural comfort and peak performance.</p>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","40","true","all conditions","Tag","Equals","running-fitness-womens","18","","","","","","","","","","","",""
"310340157577","running-fitness-womens","MERGE","Running / Fitness - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","41","","","Title","Not Contains","clearance","18","","","","","","","","","","","",""
"310340190345","casual-womens","MERGE","Casual - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","42","true","all conditions","Tag","Equals","casual-womens","28","","","","","","","","","","","",""
